Registration_no,Genus,Species,Subspecies,Binomial,Country,Locality,Latitude,Longitude,Collection_date,Collection_year,Collector,Collector2,Altitude,Sex,Tail_length,Head_body,Total_length,Ear_length,Hind_foot,Weight,Age
12.12.12.54,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,15/03/1912,1912,E_Budin,O_Thomas,2230,M,100,82,182,22,12,NA,
19.8.2.43,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,11/03/1919,1919,E_Budin,O_Thomas,4500,F,95,86,181,20.5,12.5,NA,
34.11.4.182,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Mora_sola,,,22/11/1929,1929,E_Budin,NA,2500,F,98,90,188,20.4,13.6,NA,
2.2.2.115,Thylamys,venustus,NA,Thylamys_venustus,Bolivia,Sucre,65Á W,19.5Á S,08/09/1901,1901,P_Simons,NA,2600,F,104,84,188,23,14,NA,
2.1.1.121,Thylamys,venustus,NA,Thylamys_venustus,Bolivia,Paratani,66Á W,17.5Á S,02/04/1901,1901,P_Simons,NA,2800,F,110,105,215,NA,15,NA,
26.1.1.164,Thylamys,venustus,janetta,Thylamys_venustus_janetta,Bolivia,Tablada_tanifa,,,15/12/1924,1924,E_Budin,NA,2000,M,125,115,240,22,15.8,NA,
26.1.1.166,Thylamys,venustus,janetta,Thylamys_venustus_janetta,Bolivia,Carlazo_Dt_tarifa,,,26/02/1925,1925,E_Budin,J_Lenis,2300,F,136,120,256,24.1,15.4,NA,
26.1.1.165,Thylamys,venustus,janetta,Thylamys_venustus_janetta,Bolivia,Tablada_tanifa,,,16/12/1924,1924,E_Budin,J_Lenis,2000,M,138,114,252,20.5,15.6,NA,
26.1.1.168,Thylamys,venustus,janetta,Thylamys_venustus_janetta,Bolivia,Carlazo_Dt_tarifa,,,28/02/1925,1925,E_Budin,J_Lenis,2300,M,141,118,259,24.8,15.6,NA,
2.1.1.119,Thylamys,venustus,NA,Thylamys_venustus,Bolivia,Paratani,66Á W,17.5Á S,02/04/1901,1901,P_Simons,NA,2800,F,132,100,232,22,16,NA,
2.1.1.118,Thylamys,venustus,NA,Thylamys_venustus,Bolivia,Paratani,66Á W,17.5Á S,02/04/1901,1901,P_Simons,NA,2800,M,110,80,190,20,13,NA,
2.2.2.114,Thylamys,venustus,NA,Thylamys_venustus,Bolivia,Sucre,65Á W,19Á S,13/09/1901,1901,P_Simons,NA,3200,M,112,92,204,21,15,NA,
26.1.1.171,Thylamys,venustus,NA,Thylamys_venustus,Bolivia,Pino_Dt_tanja,,,05/02/1925,1925,E_Budin,J_Lenis,1700,F,136,112,248,21.1,15.8,NA,
26.1.1.170,Thylamys,venustus,janetta,Thylamys_venustus_janetta,Bolivia,Carlazo_Dt_tanifa,,,10/03/1928,1928,E_Budin,J_Lenis,2300,F,126,163,289,20.9,14,NA,
26.1.1.163,Thylamys,venustus,janetta,Thylamys_venustus_janetta,Bolivia,Tablada_tanifa,,,05/12/1924,1924,E_Budin,J_Lenis,2000,M,130,117,247,21.4,15.5,NA,
